Investor Name,Investor Industries,Investment Stages,Preferred Ticket Size,Investor Location,Lead/Follow Role,Exit Info,Success Rate,Total Investments,Activity Year,Startup Name,Startup Industry,Startup Location,Funding Stage,Description,Founded Year,Team Size,Revenue Stage,Business Model,Customer Segment
Y Combinator,Sector Agnostic,"Accelerator, Seed",0.125M USD,"Mountain View, USA",,"Notable IPOs (Airbnb, Dropbox, etc)",High (many unicorns),3000,2023,Cowlar (Anzen),IoT/AgriTech,"Islamabad, Pakistan",Seed,Smart cow monitoring IoT collars improving dairy farm productivity,2023,<10,Pre-Revenue,B2B,SMEs
Y Combinator,Sector Agnostic,"Accelerator, Seed",0.125M USD,"Mountain View, USA",,"Notable IPOs (Airbnb, Dropbox, etc)",High (many unicorns),3000,2023,Oraan,Fintech,"Karachi, Pakistan",Seed,ROSCA digitization platform for women (community savings and lending circles),2021,10-30,Pre-Revenue,B2C,Consumers
500 Global (500 Startups),Sector Agnostic,"Accelerator, Seed",0.15M USD,"San Francisco, USA",,Multiple portfolio exits,High,2500,2023,Safepay,Fintech,"Karachi, Pakistan",Seed,Online payment gateway facilitating digital payments for businesses,2021,10-30,Pre-Revenue,B2B,SMEs
500 Global (500 Startups),Sector Agnostic,"Accelerator, Seed",0.15M USD,"San Francisco, USA",,Multiple portfolio exits,High,2500,2023,Wukla,LegalTech,"Karachi, Pakistan",Seed,Online platform for legal document automation and attorney discovery,2021,10-30,Pre-Revenue,B2C,Consumers
Ignite National Technology Fund,ICT,Seed,0.05-0.1M USD (grants),"Islamabad, Pakistan",,No exits yet,0%,10,2022,TelloTalk,Tech,"Karachi, Pakistan",Seed,Pakistan’s first homegrown messaging app with local content and services,2021,10-30,Pre-Revenue,B2C,Consumers
Ignite National Technology Fund,ICT,Seed,0.05-0.1M USD (grants),"Islamabad, Pakistan",,No exits yet,0%,10,2022,Aqua Agro,AgriTech,"Lahore, Pakistan",Seed,IoT-based smart irrigation system for water efficiency in farming,2021,10-30,Pre-Revenue,B2B,SMEs
International Finance Corporation,"Tech, FinTech, Series B",Growth,10-50M USD,"Washington, DC, USA",,Notable exit: Fawry IPO (2019),High,600,2024,TradeDepot,E-commerce,"Lagos, Nigeria",Series B,B2B e-commerce platform connecting consumer goods manufacturers with informal retailers in Africa,2017,50-100,Revenue-Generating,B2B,SMEs
International Finance Corporation,"Tech, FinTech, Series B",Growth,10-50M USD,"Washington, DC, USA",,Notable exit: Fawry IPO (2019),High,600,2024,Fawry,FinTech,"Cairo, Egypt",Growth,Electronic payments network offering financial services and bill payments in Egypt,2014,100+,Revenue-Generating,B2C,Consumers
International Finance Corporation,"Tech, FinTech, Series B",Growth,10-50M USD,"Washington, DC, USA",,Notable exit: Fawry IPO (2019),High,600,2024,TechConnect,Tech,"Washington, DC, USA",Series B,Innovative venture in the Tech sector.,2017,50-100,Revenue-Generating,B2B,Enterprises
Shorooq Partners,"FinTech, Software, Platforms","Pre-Seed, Seed, Series A",0.5-5M USD,"Abu Dhabi, UAE",,No major exits yet,Moderate,50,2022,PureHarvest,AgriTech,"Abu Dhabi, UAE",Series A,High-tech hydroponic farming startup producing pesticide-free fruits and vegetables,2019,30-50,Revenue-Generating,B2B,Enterprises
Shorooq Partners,"FinTech, Software, Platforms","Pre-Seed, Seed, Series A",0.5-5M USD,"Abu Dhabi, UAE",,No major exits yet,Moderate,50,2022,BitOasis,FinTech,"Dubai, UAE",Series B,Cryptocurrency exchange and digital asset platform for the Middle East,2017,50-100,Revenue-Generating,B2C,Consumers
Shorooq Partners,"FinTech, Software, Platforms","Pre-Seed, Seed, Series A",0.5-5M USD,"Abu Dhabi, UAE",,No major exits yet,Moderate,50,2022,SoftSolutions,Software,"Abu Dhabi, UAE",Seed,Innovative venture in the Software sector.,2021,10-30,Pre-Revenue,B2B,Enterprises
VEF (Vostok Emerging Finance),"FinTech, Financial Inclusion, Seed",Series A,5-10M USD,"Stockholm, Sweden",,No major exits yet,Moderate,20,2020,Jumo,FinTech,"Cape Town, South Africa",Series B,Mobile-based financial services platform providing credit and savings in emerging markets,2017,50-100,Revenue-Generating,B2C,Consumers
VEF (Vostok Emerging Finance),"FinTech, Financial Inclusion, Seed",Series A,5-10M USD,"Stockholm, Sweden",,No major exits yet,Moderate,20,2020,Konfio,FinTech,"Mexico City, Mexico",Series B,Lending platform offering unsecured loans to small and medium-sized businesses in Mexico,2017,50-100,Revenue-Generating,B2B,SMEs
VEF (Vostok Emerging Finance),"FinTech, Financial Inclusion, Seed",Series A,5-10M USD,"Stockholm, Sweden",,No major exits yet,Moderate,20,2020,InclusionX,Financial Inclusion,"Stockholm, Sweden",Seed,Innovative venture in the Financial Inclusion sector.,2021,10-30,Pre-Revenue,B2B,Enterprises
Quona Capital,"FinTech, Financial Inclusion, Seed",Series A,2-10M USD,"Washington, DC, USA",,Some exits via IPOs,Moderate,40,2023,Klar,FinTech,"Mexico City, Mexico",Series B,Digital banking platform offering fee-free deposit accounts and credit products in Mexico,2017,50-100,Revenue-Generating,B2C,Consumers
Quona Capital,"FinTech, Financial Inclusion, Seed",Series A,2-10M USD,"Washington, DC, USA",,Some exits via IPOs,Moderate,40,2023,Alloy,FinTech,"New York, USA",Series B,Identity verification and risk scoring platform for banks and fintechs,2017,50-100,Revenue-Generating,B2B,Enterprises
Quona Capital,"FinTech, Financial Inclusion, Seed",Series A,2-10M USD,"Washington, DC, USA",,Some exits via IPOs,Moderate,40,2023,CredAll,Financial Inclusion,"Washington, DC, USA",Seed,Innovative venture in the Financial Inclusion sector.,2021,10-30,Pre-Revenue,B2B,Enterprises
BeeNext,"FinTech, E-commerce, Seed",Series A,1-5M USD,"Singapore, Singapore",,Multiple exits,High,100,2021,Xendit,FinTech,"Jakarta, Indonesia",Series B,Digital payments infrastructure for businesses in Southeast Asia,2017,50-100,Revenue-Generating,B2B,SMEs
BeeNext,"FinTech, E-commerce, Seed",Series A,1-5M USD,"Singapore, Singapore",,Multiple exits,High,100,2021,Zilingo,E-commerce,"Singapore, Singapore",Series C,Online fashion marketplace connecting independent retailers with consumers,2015,100+,Revenue-Generating,B2C,Consumers
BeeNext,"FinTech, E-commerce, Seed",Series A,1-5M USD,"Singapore, Singapore",,Multiple exits,High,100,2021,ShopHub,E-commerce,"Singapore, Singapore",Seed,Innovative venture in the E-commerce sector.,2021,10-30,Pre-Revenue,B2C,Consumers
Wamda Capital,"Tech, E-commerce, Logistics","Seed, Series A",0.5-5M USD,"Dubai, UAE",,"Some exits (Careem acquired by Uber, etc)",Moderate,70,2022,Abhi Finance,Fintech,"Karachi, Pakistan",Series A,Salary advance and financial wellness platform for employees,2019,30-50,Revenue-Generating,B2B,SMEs
Wamda Capital,"Tech, E-commerce, Logistics","Seed, Series A",0.5-5M USD,"Dubai, UAE",,"Some exits (Careem acquired by Uber, etc)",Moderate,70,2022,NEXT (Next Degree),IT Services,"Karachi, Pakistan",N/A,IT consulting and development services company,N/A,N/A,Revenue-Generating,B2B,Enterprises
Wamda Capital,"Tech, E-commerce, Logistics","Seed, Series A",0.5-5M USD,"Dubai, UAE",,"Some exits (Careem acquired by Uber, etc)",Moderate,70,2022,AssignMe,EdTech,"Karachi, Pakistan",N/A,Online platform for student assignments and educational resources,N/A,N/A,Pre-Revenue,B2C,Consumers
BECO Capital,"Tech, Consumer Internet","Seed, Series A",0.5-5M USD,"Dubai, UAE",,Some exits in MENA region,Moderate,50,2021,Yayvo,E-commerce,"Karachi, Pakistan",N/A,Online shopping marketplace for a wide range of products,N/A,N/A,Revenue-Generating,B2C,Consumers
BECO Capital,"Tech, Consumer Internet","Seed, Series A",0.5-5M USD,"Dubai, UAE",,Some exits in MENA region,Moderate,50,2021,10xC,Fintech,"Karachi, Pakistan",,Digital insurance marketplace and financial services platform,2021,10-30,Revenue-Generating,B2C,Consumers
Flat6Labs,"Tech, Various",Seed,0.03-0.1M USD,"Cairo, Egypt",,No major exits yet,Moderate,100,2023,Xylexa,Healthtech,"Islamabad, Pakistan",Seed,AI-based diagnostic platform for medical imaging (e.g. breast cancer detection),2021,10-30,Pre-Revenue,B2B,Enterprises
Flat6Labs,"Tech, Various",Seed,0.03-0.1M USD,"Cairo, Egypt",,No major exits yet,Moderate,100,2023,Byte,Foodtech,"Karachi, Pakistan",Seed,Cloud kitchen and food delivery startup focusing on virtual restaurant brands,2021,10-30,Pre-Revenue,B2C,Consumers
Flat6Labs,"Tech, Various",Seed,0.03-0.1M USD,"Cairo, Egypt",,No major exits yet,Moderate,100,2023,Canary Tech,IT Services,"Rawalpindi, Pakistan",N/A,Software development and IT service provider for enterprises,N/A,N/A,Revenue-Generating,B2B,Enterprises
Alan Rutledge (Angel),Sector Agnostic,Seed,<0.1M USD,"San Francisco, USA",,No notable exits,N/A,1,2023,Jugnu,E-commerce,"Lahore, Pakistan",Series A,B2B e-commerce platform for small kirana stores to stock inventory,2019,30-50,Revenue-Generating,B2B,SMEs
Altaf Khan (Angel),Sector Agnostic,Seed,<0.1M USD,"Toronto, Canada",,No notable exits,N/A,1,2022,Shopsy.pk,E-commerce,"Karachi, Pakistan",Pre-Seed,Online price comparison and product discovery platform,2023,<10,Pre-Revenue,B2C,Consumers
Ameer Hamza Sadiq (Angel),Sector Agnostic,Seed,<0.1M USD,"Karachi, Pakistan",,No notable exits,N/A,1,2023,Find My Adventure,Traveltech,"Karachi, Pakistan",Seed,Online marketplace for booking travel tours and experiences in Pakistan,2021,10-30,Revenue-Generating,B2C,Consumers
B&Y Venture Partners,Sector Agnostic,"Seed, Series A",0.5-1M USD,"Beirut, Lebanon",,No notable exits,N/A,1,2020,Investors Lounge,Fintech,"Karachi, Pakistan",Seed,Online community and portal for stock market investors,2021,10-30,Pre-Revenue,B2C,Consumers
Buckley Ventures,Sector Agnostic,Series A,0.5-1M USD,USA,,No notable exits,N/A,1,2021,Airlift Technologies,Logistics,"Lahore, Pakistan",Series B,Former mass-transit and quick commerce startup (grocery delivery) that raised Pakistan’s largest funding round,2017,50-100,Revenue-Generating,B2C,Consumers
Canaan Partners,Sector Agnostic,"Series A, Series B",5-10M USD,"Silicon Valley, USA",,Multiple notable exits,N/A,1,2020,Tajir,E-commerce,"Lahore, Pakistan",Series A,Online wholesale marketplace for kirana stores,2019,30-50,Revenue-Generating,B2B,SMEs
Conjunction Capital,Sector Agnostic,Seed,0.1-0.5M USD,Unknown,,No notable exits,N/A,1,2021,Integry,SaaS,"San Francisco, USA",Seed,Integration platform that embeds third-party app integrations into SaaS products,2021,10-30,Pre-Revenue,B2B,Enterprises
Defy Partners,Sector Agnostic,Series A,2-5M USD,"Silicon Valley, USA",,No notable exits,N/A,1,2021,Sehat Kahani,Healthtech,"Karachi, Pakistan",Seed,Telemedicine platform connecting patients with online doctors and health professionals,2021,10-30,Pre-Revenue,B2C,Consumers
Glowfish Labs (Venture Studio),Sector Agnostic,Pre-Seed,0.1-0.5M USD,"Karachi, Pakistan",,No notable exits,N/A,1,2022,PrizeBonds,Fintech,"Karachi, Pakistan",Pre-Seed,Digital platform to manage and trade government prize bonds online,2023,<10,Pre-Revenue,B2C,Consumers
Karachi Angels Network,Sector Agnostic,Seed,<0.1M USD,"Karachi, Pakistan",,No exits yet,0%,1,2021,Blink,E-commerce,"Karachi, Pakistan",Seed,Quick commerce startup offering 30-minute deliveries for essentials,2021,10-30,Pre-Revenue,B2C,Consumers
Lahore Angels Network,Sector Agnostic,Seed,<0.1M USD,"Lahore, Pakistan",,No exits yet,0%,1,2021,TrashIt,CleanTech,"Lahore, Pakistan",Seed,Waste management startup providing recycling and waste collection services,2021,10-30,Pre-Revenue,B2B,Enterprises
M. Shahzad (Angel),Sector Agnostic,Seed,<0.1M USD,Pakistan,,No notable exits,N/A,1,2022,Dot & Line,EdTech,"Karachi, Pakistan",Seed,Tutoring service providing after-school math programs through a network of trained tutors,2021,10-30,Pre-Revenue,B2C,Consumers
Nadeem Hussain (Angel),"FinTech, Impact",Seed,<0.1M USD,"Karachi, Pakistan",,No notable exits,N/A,1,2020,Tez Financial,Fintech,"Karachi, Pakistan",Seed,Digital lender offering nano-loans via mobile app,2021,10-30,Pre-Revenue,B2C,Consumers
Shehryar Hydri (Angel),Sector Agnostic,Seed,<0.1M USD,"Lahore, Pakistan",,No notable exits,N/A,1,2023,Work Hall,PropTech,"Lahore, Pakistan",Seed,Co-working space and community for freelancers and startups,2021,10-30,Revenue-Generating,B2C,Consumers
Acrew Capital,Sector Agnostic,"Series A, Series B",5-10M USD,USA,,No notable exits,N/A,1,2021,Trellis Housing Finance,Fintech,"Karachi, Pakistan",Seed,Housing finance startup focused on providing mortgages to low-income groups,2021,10-30,Pre-Revenue,B2C,Consumers
Addition (Lee Fixel),Sector Agnostic,"Series B, Series C",5-10M USD,USA,,No notable exits,N/A,1,2021,Bazaar Technologies,E-commerce,"Karachi, Pakistan",Series B,B2B e-commerce marketplace connecting retail shops with wholesalers,2017,50-100,Revenue-Generating,B2B,SMEs
Antler,Sector Agnostic,Pre-Seed,0.1-0.5M USD,Singapore,,No notable exits,N/A,1,2022,Hysab Kytab,Fintech,"Karachi, Pakistan",Pre-Seed,Personal finance management app helping users track expenses and savings,2023,<10,Pre-Revenue,B2C,Consumers
Banana Capital,Sector Agnostic,Seed,0.5-1M USD,USA,,No notable exits,N/A,1,2021,Bazaar Technologies,E-commerce,"Karachi, Pakistan",Series A,B2B e-commerce marketplace connecting retail shops with wholesalers,2019,30-50,Revenue-Generating,B2B,SMEs
Bastian Lehmann (Angel),Sector Agnostic,Seed,<0.1M USD,USA,,No notable exits,N/A,1,2021,Airlift Technologies,Logistics,"Lahore, Pakistan",Series B,Former mass-transit and quick commerce startup (grocery delivery) that raised Pakistan’s largest funding round,2017,50-100,Revenue-Generating,B2C,Consumers
Biz Stone (Angel),Sector Agnostic,Seed,<0.1M USD,USA,,No notable exits,N/A,1,2021,Airlift Technologies,Logistics,"Lahore, Pakistan",Series B,Former mass-transit and quick commerce startup (grocery delivery) that raised Pakistan’s largest funding round,2017,50-100,Revenue-Generating,B2C,Consumers
Elahi Group,Sector Agnostic,Series A,1-5M USD,Pakistan,,No notable exits,N/A,1,2021,Trellis Housing Finance,Fintech,"Karachi, Pakistan",Seed,Housing finance startup focused on providing mortgages to low-income groups,2021,10-30,Pre-Revenue,B2C,Consumers
Kingsway Capital,Sector Agnostic,Growth,10-20M USD,"London, UK",,No notable exits,N/A,1,2020,Bykea,Mobility,"Karachi, Pakistan",Series B,"App-based on-demand platform for bike rides, deliveries, and payments",2017,50-100,Revenue-Generating,B2C,Consumers
MDI Ventures,Sector Agnostic,"Series A, Series B",2-5M USD,"Jakarta, Indonesia",,No notable exits,N/A,1,2024,Trellis Housing Finance,Fintech,"Karachi, Pakistan",Seed,Housing finance startup focused on providing mortgages to low-income groups,2021,10-30,Pre-Revenue,B2C,Consumers
Middle East Venture Partners (MEVP),Sector Agnostic,"Series A, Series B",2-5M USD,"Dubai, UAE",,No notable exits,N/A,1,2020,Bykea,Mobility,"Karachi, Pakistan",Series B,"App-based on-demand platform for bike rides, deliveries, and payments",2017,50-100,Revenue-Generating,B2C,Consumers
Nama Ventures,Sector Agnostic,Seed,0.1-0.5M USD,"Riyadh, Saudi Arabia",,No notable exits,N/A,1,2022,Integry,SaaS,"San Francisco, USA",Seed,Integration platform that embeds third-party app integrations into SaaS products,2021,10-30,Pre-Revenue,B2B,Enterprises
Oikocredit,"FinTech, Impact",Series A,5-10M USD,"Amersfoort, Netherlands",,No notable exits,N/A,2,2024,Tez Financial,Fintech,"Karachi, Pakistan",Seed,Digital lender offering nano-loans via mobile app,2021,10-30,Pre-Revenue,B2C,Consumers
BEENEXT,Fintech,Series A,$100k-$500k,"Singapore, Singapore",,No exits yet.,,56,2023,Finja,Fintech,"Lahore, Pakistan",Series A,B2B marketplace for retail stores to procure inventory (raised $37M in 2022),2019,11-50,Revenue-Generating,B2B,SMEs
Middle East Venture Partners,Mobility,Growth,$1M-$5M,"Dubai, UAE",,No exits yet.,,68,2023,BYKEA,Mobility,"Karachi, Pakistan",Series B,Motorcycle ride-hailing and delivery super-app for transport and logistics,2017,51-100,Revenue-Generating,B2C,Consumers
