Investor Name,Investment Industries,Investment Stages,Past Investment Types,Location,Investor Bio
B&Y Venture Partners,Tech,FinTech,Seed,"Series A,Equity,Abu Dhabi, UAE","B&Y Venture Partners is an investor based in Series A,Equity,Abu Dhabi, UAE. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Shorooq Partners,FinTech,Software,Platforms,"Pre-Seed, Seed, Series A,Equity,Abu Dhabi, UAE","Shorooq Partners is an investor based in Pre-Seed, Seed, Series A,Equity,Abu Dhabi, UAE. They are interested in sectors like FinTech and typically invest in Software rounds. Their deals are usually structured as Platforms, supporting startups with high growth potential."
International Finance Corporation,Tech,FinTech,Series B,"Growth,Equity,Washington, DC, USA","International Finance Corporation is an investor based in Growth,Equity,Washington, DC, USA. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
VEF (Vostok Emerging Finance),FinTech,Financial Inclusion,Seed,"Series A,Equity,Stockholm, Sweden","VEF (Vostok Emerging Finance) is an investor based in Series A,Equity,Stockholm, Sweden. They are interested in sectors like FinTech and typically invest in Financial Inclusion rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Quona Capital,FinTech,Financial Inclusion,Seed,"Series A,Equity,Washington, DC, USA","Quona Capital is an investor based in Series A,Equity,Washington, DC, USA. They are interested in sectors like FinTech and typically invest in Financial Inclusion rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
BeeNext,FinTech,E-commerce,Seed,"Series A,Equity,Singapore, Singapore","BeeNext is an investor based in Series A,Equity,Singapore, Singapore. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Gray Mackenzie Engineering,Industrial,FinTech,Series A,"Equity,Lahore, Pakistan","Gray Mackenzie Engineering is an investor based in Equity,Lahore, Pakistan. They are interested in sectors like Industrial and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
ICU Ventures,FinTech,Tech,Series A,"Equity,Kyiv, Ukraine","ICU Ventures is an investor based in Equity,Kyiv, Ukraine. They are interested in sectors like FinTech and typically invest in Tech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
HBL Innovation Fund,FinTech,Digital Banking,Series A,"Equity,Karachi, Pakistan","HBL Innovation Fund is an investor based in Equity,Karachi, Pakistan. They are interested in sectors like FinTech and typically invest in Digital Banking rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
VEON Ventures,Telecom,B2B,Series A,"Equity,Amsterdam, Netherlands","VEON Ventures is an investor based in Equity,Amsterdam, Netherlands. They are interested in sectors like Telecom and typically invest in B2B rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Zinal Growth Fund,Tech,FinTech,Series A,"Equity,London, UK","Zinal Growth Fund is an investor based in Equity,London, UK. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
DEG (German Invest. Corp),Various,Series A,Growth,"Equity,Cologne, Germany","DEG (German Invest. Corp) is an investor based in Equity,Cologne, Germany. They are interested in sectors like Various and typically invest in Series A rounds. Their deals are usually structured as Growth, supporting startups with high growth potential."
Khwarizmi Ventures,FinTech,Logistics,Seed,"Series A,Equity,Riyadh, Saudi Arabia","Khwarizmi Ventures is an investor based in Series A,Equity,Riyadh, Saudi Arabia. They are interested in sectors like FinTech and typically invest in Logistics rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Oman Technology Fund,Tech,E-commerce,Series A,"Equity,Muscat, Oman","Oman Technology Fund is an investor based in Equity,Muscat, Oman. They are interested in sectors like Tech and typically invest in E-commerce rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Cedar Mundi Ventures,FinTech,E-commerce,Series A,"Equity,Beirut, Lebanon","Cedar Mundi Ventures is an investor based in Equity,Beirut, Lebanon. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Reflect Ventures,Logistics,Supply Chain,FinTech,"Seed, Series A,Equity,Dubai, UAE","Reflect Ventures is an investor based in Seed, Series A,Equity,Dubai, UAE. They are interested in sectors like Logistics and typically invest in Supply Chain rounds. Their deals are usually structured as FinTech, supporting startups with high growth potential."
Century Oak Capital,Tech,Various,Seed,"Series A,Equity,Vaduz, Liechtenstein","Century Oak Capital is an investor based in Series A,Equity,Vaduz, Liechtenstein. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Haitou Global,FinTech,Lending,Seed,"Equity,New York, USA","Haitou Global is an investor based in Equity,New York, USA. They are interested in sectors like FinTech and typically invest in Lending rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
GoingVC,B2B,SaaS,Seed,"Equity,San Francisco, USA","GoingVC is an investor based in Equity,San Francisco, USA. They are interested in sectors like B2B and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Astir Ventures,Tech,AI/ML,Seed,"Equity,San Jose, USA","Astir Ventures is an investor based in Equity,San Jose, USA. They are interested in sectors like Tech and typically invest in AI/ML rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
K3 Ventures,Tech,Consumer,Series A,"Equity,Singapore, Singapore","K3 Ventures is an investor based in Equity,Singapore, Singapore. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Chandaria Capital,Various,Consumer,Seed,"Series A,Equity,Nairobi, Kenya","Chandaria Capital is an investor based in Series A,Equity,Nairobi, Kenya. They are interested in sectors like Various and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Accion Venture Lab,FinTech,Microfinance,Seed,"Convertible Note,Washington, DC, USA","Accion Venture Lab is an investor based in Convertible Note,Washington, DC, USA. They are interested in sectors like FinTech and typically invest in Microfinance rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Flourish Ventures,FinTech,InsurTech,Seed,"Series A,Equity,Menlo Park, USA","Flourish Ventures is an investor based in Series A,Equity,Menlo Park, USA. They are interested in sectors like FinTech and typically invest in InsurTech rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
CIO Angel Network,Tech,SaaS,Seed,"Equity,Karachi, Pakistan","CIO Angel Network is an investor based in Equity,Karachi, Pakistan. They are interested in sectors like Tech and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
TechStars,Tech,Various,Seed,"Equity,Boulder, USA","TechStars is an investor based in Equity,Boulder, USA. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Alchemist Accelerator,Enterprise,B2B,Seed,"Equity,San Francisco, USA","Alchemist Accelerator is an investor based in Equity,San Francisco, USA. They are interested in sectors like Enterprise and typically invest in B2B rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Speedinvest,FinTech,SaaS,Series A,"Equity,Vienna, Austria","Speedinvest is an investor based in Equity,Vienna, Austria. They are interested in sectors like FinTech and typically invest in SaaS rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Sturgeon Capital,FinTech,B2B,Seed,"Series A,Equity,London, UK","Sturgeon Capital is an investor based in Series A,Equity,London, UK. They are interested in sectors like FinTech and typically invest in B2B rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Global Ventures,FinTech,Enterprise,Series A,"Equity,Dubai, UAE","Global Ventures is an investor based in Equity,Dubai, UAE. They are interested in sectors like FinTech and typically invest in Enterprise rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Village Global,Tech,Various,Seed,"SAFE,San Francisco, USA","Village Global is an investor based in SAFE,San Francisco, USA. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
TrueSight Ventures,Tech,Consumer,Series A,"Equity,London, UK","TrueSight Ventures is an investor based in Equity,London, UK. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
RT Ventures,Tech,Consumer,Series A,"Equity,London, UK","RT Ventures is an investor based in Equity,London, UK. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
ACE Capital,Tech,Consumer,Seed,"Series A,Equity,Taipei, Taiwan","ACE Capital is an investor based in Series A,Equity,Taipei, Taiwan. They are interested in sectors like Tech and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Rally Cap Ventures,FinTech,Banking,Seed,"Series A,Equity,San Francisco, USA","Rally Cap Ventures is an investor based in Series A,Equity,San Francisco, USA. They are interested in sectors like FinTech and typically invest in Banking rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
92 Ventures,Sector Agnostic,Pre-Seed,Seed,"SAFE, Equity,Karachi, Pakistan","92 Ventures is an investor based in SAFE, Equity,Karachi, Pakistan. They are interested in sectors like Sector Agnostic and typically invest in Pre-Seed rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Suya Ventures,FinTech,E-commerce,Seed,"Equity,Lagos, Nigeria","Suya Ventures is an investor based in Equity,Lagos, Nigeria. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Disrupt.com,Tech,Media,Seed,"Equity,Karachi, Pakistan","Disrupt.com is an investor based in Equity,Karachi, Pakistan. They are interested in sectors like Tech and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Sanabil 500 MENA,FinTech,E-commerce,Seed,"Series A,Equity,Riyadh, Saudi Arabia","Sanabil 500 MENA is an investor based in Series A,Equity,Riyadh, Saudi Arabia. They are interested in sectors like FinTech and typically invest in E-commerce rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Dash Ventures,Tech,Various,Series A,"Equity,Amman, Jordan","Dash Ventures is an investor based in Equity,Amman, Jordan. They are interested in sectors like Tech and typically invest in Various rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Conjunction Capital,Tech,FinTech,Series A,"Equity,Dubai, UAE","Conjunction Capital is an investor based in Equity,Dubai, UAE. They are interested in sectors like Tech and typically invest in FinTech rounds. Their deals are usually structured as Series A, supporting startups with high growth potential."
Sam Altman (Angel),Tech,AI,Seed,"SAFE, Convertible Note,San Francisco, USA","Sam Altman (Angel) is an investor based in SAFE, Convertible Note,San Francisco, USA. They are interested in sectors like Tech and typically invest in AI rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Biz Stone (Angel),Social Media,Consumer,Seed,"Convertible Note,San Francisco, USA","Biz Stone (Angel) is an investor based in Convertible Note,San Francisco, USA. They are interested in sectors like Social Media and typically invest in Consumer rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Steve Pagliuca (Angel),Technology,Media,Series B,"Equity,Boston, USA","Steve Pagliuca (Angel) is an investor based in Equity,Boston, USA. They are interested in sectors like Technology and typically invest in Media rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Jeffrey Katzenberg (Angel),Media,Entertainment,Series B,"Equity,Los Angeles, USA","Jeffrey Katzenberg (Angel) is an investor based in Equity,Los Angeles, USA. They are interested in sectors like Media and typically invest in Entertainment rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Taavet Hinrikus (Angel),FinTech,Payments,Series B,"Equity,London, UK","Taavet Hinrikus (Angel) is an investor based in Equity,London, UK. They are interested in sectors like FinTech and typically invest in Payments rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Stanley Tang (Angel),Delivery,Logistics,Series B,"Equity,San Francisco, USA","Stanley Tang (Angel) is an investor based in Equity,San Francisco, USA. They are interested in sectors like Delivery and typically invest in Logistics rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Simon Borrero (Angel),Delivery,Mobility,Series B,"Equity,Bogotá, Colombia","Simon Borrero (Angel) is an investor based in Equity,Bogotá, Colombia. They are interested in sectors like Delivery and typically invest in Mobility rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Bastian Lehmann (Angel),Delivery,Logistics,Series B,"Equity,San Francisco, USA","Bastian Lehmann (Angel) is an investor based in Equity,San Francisco, USA. They are interested in sectors like Delivery and typically invest in Logistics rounds. Their deals are usually structured as Series B, supporting startups with high growth potential."
Julian Shapiro (Angel),Marketing,SaaS,Seed,"SAFE,San Francisco, USA","Julian Shapiro (Angel) is an investor based in SAFE,San Francisco, USA. They are interested in sectors like Marketing and typically invest in SaaS rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Sriram Krishnan (Angel),Consumer,Crypto,Seed,"SAFE,San Francisco, USA","Sriram Krishnan (Angel) is an investor based in SAFE,San Francisco, USA. They are interested in sectors like Consumer and typically invest in Crypto rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
William Hockey (Angel),FinTech,Seed,SAFE,"San Francisco, USA","William Hockey (Angel) is an investor based in San Francisco, USA. They are interested in sectors like FinTech and typically invest in Seed rounds. Their deals are usually structured as SAFE, supporting startups with high growth potential."
Teddy Himler (Angel),FinTech,Media,Seed,"SAFE,New York, USA","Teddy Himler (Angel) is an investor based in SAFE,New York, USA. They are interested in sectors like FinTech and typically invest in Media rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Alan Rutledge (Angel),B2B,SaaS,Pre-Seed,"SAFE,Sydney, Australia","Alan Rutledge (Angel) is an investor based in SAFE,Sydney, Australia. They are interested in sectors like B2B and typically invest in SaaS rounds. Their deals are usually structured as Pre-Seed, supporting startups with high growth potential."
Mir Aamir (Angel),E-commerce,Retail,Seed,"SAFE,San Francisco, USA","Mir Aamir (Angel) is an investor based in SAFE,San Francisco, USA. They are interested in sectors like E-commerce and typically invest in Retail rounds. Their deals are usually structured as Seed, supporting startups with high growth potential."
Pere Hospital (Angel),Cybersecurity,Seed,SAFE,"Barcelona, Spain","Pere Hospital (Angel) is an investor based in Barcelona, Spain. They are interested in sectors like Cybersecurity and typically invest in Seed rounds. Their deals are usually structured as SAFE, supporting startups with high growth potential."
